Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Kyle Froehlich,RHP/IF,Colby,JUCO: Division 1,A,20,55,16,23,6,1,4,19,1,0.418,0.5,0.782,1.282,1,1,4.0,1,0,0,4,1,0.0,0,4
Kyle Kush,IF,Canisius College,NCAA: Division 1,H,20,70,8,20,3,0,0,6,1,0.286,0.383,0.329,0.712,0,0,,0,0,0,0,0,,0,0
Kyle Lev,RHP,Siena College,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,0,3.2,0,1,7,5,9,17.18,0,2
Kyle Maves,OF,Quinnipiac University,NCAA: Division 1,H,18,67,15,21,4,2,0,12,10,0.313,0.41,0.433,0.843,0,0,,0,0,0,0,0,,0,0
Kyle Nash,RHP,D'Youville College,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,2,0,1.2,0,0,2,2,1,10.8,0,0
Kyle Poapst,RHP,University of Antelope Valley,NAIA,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,2,18.2,1,0,8,11.0,17.0,3.86,0,15
Kyle Smyth,RHP,Niagara University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,8,0,4.2,0,1,10,5,13,19.29,0,4
Kyle Whiteclaw,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kyler Charchun,OF,Southwest Baptist University,NCAA: Division 2,H,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Kyo Sakaguchi,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Layton Cuvilier,OF&LHP,Sullivan County,JUCO: Division 2,A,8,26,8,11,4,0,0,7,3,0.423,0.485,0.577,1.062,2,2,9.0,1,0,9,13,6,9.0,0,9
Lee Majerovits,LHP,Finger Lakes,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Leo Markotic,INF/OF,"Texas A&M University, Corpus Christi",NCAA: Division 1,H,21,82,15,24,5,0,3,21,0,0.293,0.344,0.463,0.807,0,0,,0,0,0,0,0,,0,0
Levi Abbott,RHP,Canisius College,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,2,10.0,0,2,21,19,16,18.9,0,10
Liam Allen,IF/RHP,Marshalltown,JUCO: Division 1,A,8,11,0,1,0,0,0,0,0,0.091,0.167,0.091,0.258,4,2,17.2,0,3,20,26,10,10.19,0,17
Liam Bates,RHP,Cloud County,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Bushey,INF,Mineral Area,JUCO: Division 1,A,17,55,7,22,2,1,0,6,0,0.4,0.484,0.473,0.957,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Carey,RHP,Muskingum University,NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,7,0,15.2,1,2,2,12,7,1.15,2,8
Liam Devine,LHP,St. Bonaventure University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,4,4,18.0,0,3,17,29,9,8.5,0,14
Liam MacLean,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Progulske,RHP/3B,Florida Institute of Technology,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,3,0,4.2,0,0,3,5,3,5.79,0,4
Liam Progulske,RHP/3B,Florida Institute of Technology,NCAA: Division 2,H,3,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Liam Vulcano,IF,Colby,JUCO: Division 1,A,7,12,2,3,0,0,0,1,0,0.25,0.438,0.25,0.688,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Wedge,RHP,Elmira College,NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,1,0,1.1,0,0,0,3,0,0.0,0,0
Logan Blumhagen,LHP,William Woods University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Logan Grant,IF/C,Bismarck State,JUCO: Division 2,A,18,58,22,28,4,4,3,31,0,0.483,0.565,0.845,1.41,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan Harvey,C,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan Knight,RHP,Ventura College,California CC,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0,6.2,0,0,3,4,6,4.05,0,5
Logan MacDougall,SS,University of Maine at Presque Isle,NCAA: Division 3,H,6,16,1,1,0,0,0,0,0,0.062,0.167,0.062,0.229,0,0,,0,0,0,0,0,,0,0
Logan MacNiel,RHP,Allen County,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,9.1,1,1,8,7,4,7.71,0,17
Logan Newman,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan Sheasgreen,OF,Cayuga,JUCO: Division 3,A,5,11,1,5,1,1,0,4,0,0.455,0.5,0.727,1.227,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan Warkentin,OF/LHP,Williston State,JUCO: Division 2,A,22,64,22,22,6,0,2,23,0,0.344,0.432,0.531,0.963,2,0,5.1,1,0,3,3,3,5.06,0,11
Louis Gendron,C/UTL,The College of Saint Rose,NCAA: Division 2,H,7,7,1,1,0,0,0,1,0,0.143,0.25,0.143,0.393,0,0,,0,0,0,0,0,,0,0
Louis-Philippe Langevin,RHP,Wabash Valley,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Luca Boscarino,C/OF,Connors State,JUCO: Division 1,A,17,46,10,13,2,0,2,11,1,0.283,0.365,0.457,0.822,0,0,0.0,0,0,0,0,0,0.0,0,0
Lucas Bateman,C/INF,Kankakee,JUCO: Division 2,A,11,22,1,1,1,0,0,4,0,0.045,0.192,0.091,0.283,0,0,0.0,0,0,0,0,0,0.0,0,0
Lucas DiLuca,INF,Eastern Illinois University,NCAA: Division 1,H,20,73,20,28,4,0,1,16,4,0.384,0.494,0.479,0.973,0,0,,0,0,0,0,0,,0,0
Lucas Earle,LHP,Allan Hancock College,California CC,A,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,0,24.0,1,1,13,38,9,4.88,1,19
Lucas Gilbert,RHP,North Iowa Area,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,0,0,0,0,0.0,0,2
Lucas Lefebvre,SS,Barstow College,California CC,A,23,86,17,31,5,2,1,12,1,0.36,0.433,0.5,0.933,0,0,0.0,0,0,0,0,0,0.0,0,0
Lucas Wepf,RHP,University of Louisiana at Monroe,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,8,0,13.0,1,2,5,16,9,3.46,1,16
Luciano Letteri,OF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Ludovic Messier,,Morton,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,0,0,0,0,0.0,0,1
Luigi Russo,1B,Ohio Wesleyan University,NCAA: Division 3,H,15,41,10,10,0,1,2,9,5,0.244,0.436,0.439,0.875,0,0,,0,0,0,0,0,,0,0
Luis Gallardo,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Lukas Barry,RHP,Canisius College,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,1,0,1.0,0,0,4,4,1,36.0,0,0
Lukas Touma,RHP,"University of South Carolina, Upstate",NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,4,3,9.2,0,0,7,9,4,6.52,0,6
Macallister Gatzke,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Mackenzie Mather,C,State University of New York at Canton,NCAA: Division 3,H,4,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Maddux Mateychuk,RHP,Campbellsville University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Maguire Wakelyn,RHP,Otero,JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,12.1,0,3,28,31,9,20.43,0,8
Malcolm Mingo,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Malik Williams,INF,Lipscomb University,NCAA: Division 1,H,24,91,18,32,3,1,5,27,1,0.352,0.417,0.571,0.988,0,0,,0,0,0,0,0,,0,0
Malkolm Barrett,RHP,Wheeling Jesuit University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,2,0,1.1,0,0,3,1,2,20.25,0,2
Marcus Strother,C,University of Toledo,NCAA: Division 1,H,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Marika Lyszczyk,C/RHP,Rivier University,NCAA: Division 3,H,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Marika Lyszczyk,C/RHP,Rivier University,NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Mario Ricci,C,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Marshal Luiz,C,Jackson State University,NCAA: Division 1,H,14,40,6,7,1,0,0,9,4,0.175,0.358,0.2,0.558,0,0,,0,0,0,0,0,,0,0
Marshall Leishman,LHP,Ashland University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,5,0,6.0,1,0,6,12,3,9.0,0,8
Martin Vincelli-Simard,INF,Sacramento State University,NCAA: Division 1,H,10,26,3,4,2,0,0,6,0,0.154,0.324,0.231,0.555,0,0,,0,0,0,0,0,,0,0
Mason Dobie,IF,University of Dayton,NCAA: Division 1,H,10,16,2,3,0,0,0,1,2,0.188,0.458,0.188,0.646,0,0,,0,0,0,0,0,,0,0
Mason Glowacki,IF,East Central University,NCAA: Division 2,H,27,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Mason Nordli,RHP,Lamar,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,10.0,0,3,17,23,8,15.3,0,12
Mason Wright,C,Erie,JUCO: Division 3,A,8,15,1,3,0,0,0,1,0,0.2,0.25,0.2,0.45,0,0,0.0,0,0,0,0,0,0.0,0,0
Mateo Zeppieri,OF,McLennan,JUCO: Division 1,A,16,30,9,9,1,1,0,7,1,0.3,0.462,0.4,0.862,0,0,0.0,0,0,0,0,0,0.0,0,0
Mathieu Sirois,1B/OF,Bellevue University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Mathieu Vallee,OF,Dallas Baptist University,NCAA: Division 1,H,8,16,3,4,0,0,0,1,3,0.25,0.333,0.25,0.583,0,0,,0,0,0,0,0,,0,0
Matt Brandt,C,Spalding University,NCAA: Division 3,H,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Matt Brown,RHP,Frontier,JUCO: Division 1,A,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,0,35.2,3,4,25,35,21,6.31,0,36
Matt Coutney,3B/1B,Old Dominion University,NCAA: Division 1,H,22,84,24,25,5,0,7,19,0,0.298,0.422,0.607,1.029,0,0,,0,0,0,0,0,,0,0
Matt Duffy,RHP,Canisius College,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,6,6,38.2,3,1,12,24,8,2.79,0,43
Matt Fabian,IF,Ithaca College,NCAA: Division 3,H,11,43,8,15,3,0,0,8,1,0.349,0.44,0.419,0.859,0,0,,0,0,0,0,0,,0,0
Matt Jenkins,OF,Harvard University,NCAA: Division 1,H,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Matt McEachern,OF,Lourdes University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Matt Schure,OF,Lassen College,California CC,A,14,38,7,15,3,0,0,5,5,0.395,0.442,0.474,0.916,0,0,0.0,0,0,0,0,0,0.0,0,0
Matt Simpson,C,Northland College,NCAA: Division 3,H,6,16,2,6,0,1,0,3,0,0.375,0.444,0.5,0.944,0,0,,0,0,0,0,0,,0,0
Matt Torresan,RHP/OF,Iowa Lakes,JUCO: Division 2,A,7,13,3,4,2,1,0,4,0,0.308,0.4,0.615,1.015,0,0,0.0,0,0,0,0,0,0.0,0,0
Matt Turino,OF,Saint Louis University,NCAA: Division 1,H,19,55,13,12,4,0,2,9,3,0.218,0.38,0.4,0.78,0,0,,0,0,0,0,0,,0,0
Matt Ward,C,Niagara University,NCAA: Division 1,H,18,59,9,13,2,1,1,2,0,0.22,0.324,0.339,0.663,0,0,,0,0,0,0,0,,0,0
Matt Wiggins,RHP,Niagara University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Matt Wilkinson,LHP,Central Arizona,JUCO: Division 1,A,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,0,22.2,2,1,3,15,4,1.19,1,46
Matteo Porcellato,INF,Marian University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Matthew Bomersback,RHP,Dawson,JUCO: Division 2,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,8.2,0,2,4,5,7,4.15,0,8
Matthew Dobberthien,RHP/OF,Colby,JUCO: Division 1,A,10,9,1,1,1,0,0,1,0,0.111,0.2,0.222,0.422,6,2,14.2,1,1,11,24,7,6.75,1,14
Matthew Ferris,C,Niagara County,JUCO: Division 3,A,12,27,9,9,4,1,0,8,0,0.333,0.471,0.556,1.027,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthew Jeffery,RHP,Bossier Parish,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthew Nolin,LHP,Olivet Nazarene University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Matthew O’Reilly,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthew Panzica,OF,Ventura College,California CC,A,5,6,0,0,0,0,0,1,0,0.0,0.143,0.0,0.143,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthew Rogers,RHP,Southwestern,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,5.1,0,0,11,7,11,18.56,0,1
Matthew Watson,RHP,Biola University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,6,0,6.2,0,0,3,4,8,4.05,0,5
Matthias Trondson,RHP,Northeastern Oklahoma A&M,JUCO: Division 1,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,7,28.2,1,3,17,33,15,5.34,0,30
Matys Gagnon,C,Cowley,JUCO: Division 1,A,6,12,1,2,1,0,0,0,0,0.167,0.231,0.25,0.481,0,0,0.0,0,0,0,0,0,0.0,0,0
Max Grant,IF,Canisius College,NCAA: Division 1,H,21,82,19,32,1,1,4,14,4,0.39,0.495,0.573,1.068,0,0,,0,0,0,0,0,,0,0
Max Lojko,RHP,Lourdes University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Max Poole,RHP,Mars Hill University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,7,0,9.1,0,0,3,8,6,2.89,0,5
Max Von Gemmingen,C,Spring Arbor University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Maxime Adam,OF,Western Nebraska,JUCO: Division 1,A,4,9,1,2,0,0,1,3,3,0.222,0.533,0.556,1.089,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Micah McDowell,OF,Oregon State University,NCAA: Division 1,H,9,19,5,4,1,0,0,3,1,0.211,0.375,0.263,0.638,0,0,,0,0,0,0,0,,0,0
Michael Bonaccorso,RHP,Saint Peter's University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,7,0,6.1,0,0,20,14,9,28.42,0,6
Michael Clapperton,INF,"University of Texas, Permian Basin",NCAA: Division 2,H,29,100,16,29,5,0,1,13,6,0.29,0.379,0.37,0.749,0,0,,0,0,0,0,0,,0,0
Michael Khatkar,INF,Otero,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Michael Millross,UTL,Elmira College,NCAA: Division 3,H,4,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Michael Watson,RHP,St. Lawrence University,NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,3,1,7.2,1,0,3,9,7,3.52,0,1
Mickenzie Sondergaard,LHP,Three Rivers,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.2,0,0,1,0,2,5.4,0,1
Mike Brisson,INF,Niagara University,NCAA: Division 1,H,4,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Mike Fitzsimmons,IF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Mike MacDougall,RHP,University of Indianapolis,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,3,1,3.1,0,1,8,6,4,21.6,0,3
Mike Short,IF,Minnesota State,JUCO: Division 3,A,8,29,9,7,1,0,2,6,1,0.241,0.313,0.483,0.796,2,0,3.0,0,0,3,2,3,9.0,1,4
Mitchell Dennis,RHP,University of Jamestown,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Mitchell Haywood,C|1B,CCBC Essex,JUCO: Division 2,A,19,50,10,12,5,0,1,5,2,0.24,0.377,0.4,0.777,0,0,0.0,0,0,0,0,0,0.0,0,0
Mitchell Middlemiss,OF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Myles Pallister,RHP,Niagara University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,0,3,1,2,,0,0
Nash Crowell,IF,Bismarck State,JUCO: Division 2,A,18,54,20,28,6,4,1,24,3,0.519,0.55,0.833,1.383,0,0,0.0,0,0,0,0,0,0.0,0,0
Nate Rosser,RHP,Ohlone College,California CC,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,3,15.1,0,0,15,24,10,8.8,0,20
Nathan Boutilier,OF,Pratt,JUCO: Division 1,A,5,13,3,2,0,0,0,2,0,0.154,0.313,0.154,0.467,0,0,0.0,0,0,0,0,0,0.0,0,0
Nathan Galati,RHP,Northeastern,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,3.2,0,0,2,3,4,4.91,0,2
Nathan Holmes,RHP,University of Texas at Tyler,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,5,0,3.2,0,0,4,7,4,9.82,0,6
Nathan Kolb,RHP,University of Mary,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Nathan Landry,LHP,University of Missouri,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,7,2,21.1,1,2,11,20,3,4.64,1,30
Nathan Picchioni,RHP,Lawrence Technological University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nathan Scragg,MIF,Dawson,JUCO: Division 2,A,7,20,9,5,0,0,2,4,1,0.25,0.483,0.55,1.033,0,0,0.0,0,0,0,0,0,0.0,0,0
Nathan Shute,C/OF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nathan Slobodian,RHP,Minot State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Nelson Mercado,3B/RHP,Connors State,JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,16.2,2,0,11,18,6,5.94,0,16
Nicholas Fazzari,C,Charleston Southern University,NCAA: Division 1,H,16,31,8,7,1,1,0,6,1,0.226,0.413,0.323,0.736,0,0,,0,0,0,0,0,,0,0
Nicholas Graham,RHP,Faulkner University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nicholas Thibodeau,C,Howard (TX),JUCO: Division 1,A,22,67,23,27,3,0,6,17,1,0.403,0.474,0.716,1.19,0,0,0.0,0,0,0,0,0,0.0,0,0
Nick Backstrom,RHP/3B,Lindsey Wilson College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nick DiGennaro,INF,Lourdes University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nick George,UT,William Penn University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nick Holdershaw,OF,University of Dubuque,NCAA: Division 3,H,3,3,1,1,0,0,0,2,0,0.333,0.333,0.333,0.666,0,0,,0,0,0,0,0,,0,0
Nick Tremblay,OF,Trinidad State,JUCO: Division 1,A,32,101,38,35,7,2,3,16,9,0.347,0.455,0.545,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Nick Veselinovic,LHP,Niagara University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,1,5.2,0,1,4,7,8,6.35,0,5
Nick Woodcock,LHP,Yavapai,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,6.0,1,0,1,3,6,1.5,0,5
Nico Saldias,RHP,Saint Xavier University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Nicolas Santarelli,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Noah Boutilier,INF,Panola,JUCO: Division 1,A,10,15,2,1,0,0,0,1,0,0.067,0.211,0.067,0.278,0,0,0.0,0,0,0,0,0,0.0,0,0
Noah Geekie,OF/LHP,Emporia State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,9,1,23.1,3,1,15,19,8,5.79,1,30
Noah Geekie,OF/LHP,Emporia State University,NCAA: Division 2,H,24,68,9,26,3,2,1,9,4,0.382,0.417,0.529,0.946,0,0,,0,0,0,0,0,,0,0
Noah Hull,OF/1B,University of Mary,NCAA: Division 2,H,18,68,2,13,3,1,0,10,1,0.191,0.25,0.265,0.515,0,0,,0,0,0,0,0,,0,0
Noah London,OF,University of Northwestern Ohio,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Noah Murciano,C,Sussex County,JUCO: Division 2,A,6,13,1,2,0,0,0,3,0,0.154,0.214,0.154,0.368,0,0,0.0,0,0,0,0,0,0.0,0,0
Noah Myers,OF,"University of South Carolina, Upstate",NCAA: Division 1,H,24,96,29,29,3,2,3,10,11,0.302,0.417,0.469,0.886,0,0,,0,0,0,0,0,,0,0
Noah Or,C,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Noah Penney,RHP,Tiffin University,NCAA: Division 2,H,5,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Noah Richardson,P/1B/OF,Northern Kentucky University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,4,0,7.2,1,0,3,6,4,3.52,0,11
Noah Richardson,P/1B/OF,Northern Kentucky University,NCAA: Division 1,H,4,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Noah Roberts,C,Arizona Western,JUCO: Division 1,A,22,61,2,19,4,1,2,18,0,0.311,0.411,0.508,0.919,0,0,0.0,0,0,0,0,0,0.0,0,0
Noah Takacs,RHP,Sacramento State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,2,8.0,0,1,12,13,9,13.5,0,9
Noel McGarry-Doyle,OF,Southeastern,JUCO: Division 2,A,24,74,15,18,5,0,5,16,6,0.243,0.412,0.514,0.926,0,0,0.0,0,0,0,0,0,0.0,0,0
Nolan Austin,1B,Northeastern Oklahoma A&M,JUCO: Division 1,A,20,52,8,7,0,0,2,9,0,0.135,0.281,0.25,0.531,0,0,0.0,0,0,0,0,0,0.0,0,0
Nolan Gallagher,INF,Medaille College,NCAA: Division 3,H,5,14,1,4,1,0,0,0,0,0.286,0.286,0.357,0.643,0,0,,0,0,0,0,0,,0,0
Nolan MacDonald,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Nolan Phelan,OF,Finger Lakes,JUCO: Division 3,A,4,4,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,0,0,0.0,0,0,0,0,0,0.0,0,0
Nolan Weger,IF,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
